"gene","domain","Method","Significant_in_DE_by_Domain","Significant_in_LRT_results","adj_p_value"
"Prpf8",2,"DE_by_Domain",TRUE,FALSE,7.02469654735818e-46
"Lhfpl3",4,"DE_by_Domain",TRUE,FALSE,8.28196016513343e-46
"Sf1",3,"DE_by_Domain",TRUE,FALSE,1.53871563497375e-45
"Mtln",2,"DE_by_Domain",TRUE,FALSE,2.82134118430368e-45
"Acap3",5,"DE_by_Domain",TRUE,FALSE,2.95445798450731e-45
"Lgi3",6,"DE_by_Domain",TRUE,FALSE,2.97952748199423e-45
"Clasp1",3,"DE_by_Domain",TRUE,FALSE,3.9902178994743e-45
"Limch1",8,"DE_by_Domain",TRUE,FALSE,4.9569793883843e-45
"Sgsm3",3,"DE_by_Domain",TRUE,FALSE,6.25090502173227e-45
"Lhfpl4",3,"DE_by_Domain",TRUE,FALSE,9.28570349852755e-45
"Celf5",5,"DE_by_Domain",TRUE,FALSE,9.36833079590622e-45
"Osbpl3",2,"DE_by_Domain",TRUE,FALSE,9.59433839490492e-45
"Manbal",3,"DE_by_Domain",TRUE,FALSE,1.12118397553132e-44
"Fam135b",2,"DE_by_Domain",TRUE,FALSE,1.33560330500331e-44
"Ptp4a3",3,"DE_by_Domain",TRUE,FALSE,1.582595108249e-44
"Dio2",4,"DE_by_Domain",TRUE,FALSE,2.13943735773112e-44
"1500009C09Rik",3,"DE_by_Domain",TRUE,FALSE,2.16196751749489e-44
"Zfp260",2,"DE_by_Domain",TRUE,FALSE,2.31878117307433e-44
"Abcb9",3,"DE_by_Domain",TRUE,FALSE,3.27274080597317e-44
"Fbxo11",3,"DE_by_Domain",TRUE,FALSE,3.34195854356286e-44
"Asphd1",3,"DE_by_Domain",TRUE,FALSE,3.34196989428709e-44
"Scaf1",3,"DE_by_Domain",TRUE,FALSE,3.75586790073027e-44
"Klf6",2,"DE_by_Domain",TRUE,FALSE,3.76584348036114e-44
"Pabpc1",4,"DE_by_Domain",TRUE,FALSE,4.26345902345753e-44
"Usf2",3,"DE_by_Domain",TRUE,FALSE,4.4566785020714e-44
"Mrpl57",3,"DE_by_Domain",TRUE,FALSE,4.57923061013106e-44
"Slitrk1",2,"DE_by_Domain",TRUE,FALSE,6.60146744411094e-44
"Ppip5k1",2,"DE_by_Domain",TRUE,FALSE,7.15968252600157e-44
"Irgq",2,"DE_by_Domain",TRUE,FALSE,9.82762397656577e-44
"Ddx24",2,"DE_by_Domain",TRUE,FALSE,1.34537983367686e-43
"Ctdnep1",3,"DE_by_Domain",TRUE,FALSE,1.44819411613537e-43
"Arrb1",2,"DE_by_Domain",TRUE,FALSE,2.09091931913664e-43
"Coprs",3,"DE_by_Domain",TRUE,FALSE,3.62274991304015e-43
"Tpst1",8,"DE_by_Domain",TRUE,FALSE,4.95778030784152e-43
"Med14",2,"DE_by_Domain",TRUE,FALSE,5.0106610918458e-43
"Pik3r2",3,"DE_by_Domain",TRUE,FALSE,5.62624086639328e-43
"Mapk8",3,"DE_by_Domain",TRUE,FALSE,7.22905416584523e-43
"Ccdc12",5,"DE_by_Domain",TRUE,FALSE,1.17623207845394e-42
"Armc8",3,"DE_by_Domain",TRUE,FALSE,1.26010605872035e-42
"Cdh10",2,"DE_by_Domain",TRUE,FALSE,1.47654555119147e-42
"Adamtsl2",1,"DE_by_Domain",TRUE,FALSE,1.60789783702003e-42
"Celf5",6,"DE_by_Domain",TRUE,FALSE,1.9220383638921e-42
"Sdf2",3,"DE_by_Domain",TRUE,FALSE,2.22167857743425e-42
"Sugt1",3,"DE_by_Domain",TRUE,FALSE,2.33311511483926e-42
"Rab11fip5",3,"DE_by_Domain",TRUE,FALSE,2.33535050181316e-42
"Poldip2",3,"DE_by_Domain",TRUE,FALSE,3.01818828540499e-42
"Tm2d3",3,"DE_by_Domain",TRUE,FALSE,3.16508263465048e-42
"Usf2",2,"DE_by_Domain",TRUE,FALSE,3.54049775104612e-42
"Rmnd5a",3,"DE_by_Domain",TRUE,FALSE,3.63498050742738e-42
"Uba2",3,"DE_by_Domain",TRUE,FALSE,3.78745846071409e-42
"Afg3l2",3,"DE_by_Domain",TRUE,FALSE,4.85806635664708e-42
"Ttc19",7,"DE_by_Domain",TRUE,FALSE,5.8530525625651e-42
"Grp",5,"DE_by_Domain",TRUE,FALSE,6.57760930600899e-42
"Lmbrd1",3,"DE_by_Domain",TRUE,FALSE,6.74513465448461e-42
"Adss",3,"DE_by_Domain",TRUE,FALSE,7.15116529551167e-42
"Podn",5,"DE_by_Domain",TRUE,FALSE,7.33038132746751e-42
"Celf5",1,"DE_by_Domain",TRUE,FALSE,7.84903809657153e-42
"Dennd5a",3,"DE_by_Domain",TRUE,FALSE,8.82201892566285e-42
"Smg5",3,"DE_by_Domain",TRUE,FALSE,9.68317608627877e-42
"Man1c1",1,"DE_by_Domain",TRUE,FALSE,1.29815989621021e-41
"Sgsm3",2,"DE_by_Domain",TRUE,FALSE,1.6530775059761e-41
"Mn1",3,"DE_by_Domain",TRUE,FALSE,1.73974266901384e-41
"Sh3gl3",8,"DE_by_Domain",TRUE,FALSE,1.99234067826241e-41
"Ccdc32",2,"DE_by_Domain",TRUE,FALSE,2.08440405097573e-41
"Slitrk1",5,"DE_by_Domain",TRUE,FALSE,2.29571039530807e-41
"Olfm3",3,"DE_by_Domain",TRUE,FALSE,2.66093766006373e-41
"Pgr15l",4,"DE_by_Domain",TRUE,FALSE,3.03557088354106e-41
"Klhl9",3,"DE_by_Domain",TRUE,FALSE,3.3224728418464e-41
"Spryd7",3,"DE_by_Domain",TRUE,FALSE,3.94237289276012e-41
"Tbc1d16",8,"DE_by_Domain",TRUE,FALSE,4.13867143089193e-41
"Tsr2",3,"DE_by_Domain",TRUE,FALSE,4.20715905762852e-41
"Dnajc10",3,"DE_by_Domain",TRUE,FALSE,4.53159442689173e-41
"Ggnbp2",3,"DE_by_Domain",TRUE,FALSE,4.81429471784729e-41
"Chd4",3,"DE_by_Domain",TRUE,FALSE,6.11590277235994e-41
"Tcea1",3,"DE_by_Domain",TRUE,FALSE,7.53182600186091e-41
"Hdlbp",3,"DE_by_Domain",TRUE,FALSE,7.99867440647046e-41
"Porcn",2,"DE_by_Domain",TRUE,FALSE,8.48974676469927e-41
"Rassf3",2,"DE_by_Domain",TRUE,FALSE,9.61268822604817e-41
"Eif3k",2,"DE_by_Domain",TRUE,FALSE,1.25183687790169e-40
"Cox16",3,"DE_by_Domain",TRUE,FALSE,1.44863377685331e-40
"Gm32432",7,"DE_by_Domain",TRUE,FALSE,2.00188769447416e-40
"Lgalsl",3,"DE_by_Domain",TRUE,FALSE,2.10297493432462e-40
"Ankrd35",1,"DE_by_Domain",TRUE,FALSE,2.62536706676703e-40
"Tmem240",3,"DE_by_Domain",TRUE,FALSE,3.27734247011575e-40
"Atxn2l",3,"DE_by_Domain",TRUE,FALSE,3.5616637327138e-40
"Dnajc7",3,"DE_by_Domain",TRUE,FALSE,3.74528457341722e-40
"Me1",7,"DE_by_Domain",TRUE,FALSE,4.50321160646228e-40
"Timm10",2,"DE_by_Domain",TRUE,FALSE,1.13600466922553e-39
"Arhgap15",1,"DE_by_Domain",TRUE,FALSE,1.36270279226357e-39
"Nmt1",2,"DE_by_Domain",TRUE,FALSE,1.52146986420522e-39
"Ppip5k1",3,"DE_by_Domain",TRUE,FALSE,1.72474619781163e-39
"Mrps7",3,"DE_by_Domain",TRUE,FALSE,1.75154075859527e-39
"Taf10",3,"DE_by_Domain",TRUE,FALSE,1.93817611172935e-39
"Rnf167",3,"DE_by_Domain",TRUE,FALSE,2.13499282034996e-39
"Adcyap1",3,"DE_by_Domain",TRUE,FALSE,2.16905190385045e-39
"Get4",3,"DE_by_Domain",TRUE,FALSE,2.92653673763823e-39
"Atmin",3,"DE_by_Domain",TRUE,FALSE,2.98718540811434e-39
"Eif3m",3,"DE_by_Domain",TRUE,FALSE,4.2476879567849e-39
"Tmem191c",2,"DE_by_Domain",TRUE,FALSE,4.48029171608364e-39
"Timm22",3,"DE_by_Domain",TRUE,FALSE,4.81032267328819e-39
"Extl3",3,"DE_by_Domain",TRUE,FALSE,5.70402622407397e-39
"Fkbp4",3,"DE_by_Domain",TRUE,FALSE,6.14771803882725e-39
"Rmnd5b",4,"DE_by_Domain",TRUE,FALSE,6.34599474404151e-39
"Hipk3",3,"DE_by_Domain",TRUE,FALSE,7.40989207159881e-39
"Dzip3",3,"DE_by_Domain",TRUE,FALSE,7.80020949550032e-39
"Gm28703",7,"DE_by_Domain",TRUE,FALSE,8.10006659588472e-39
"Ralgapb",3,"DE_by_Domain",TRUE,FALSE,9.18498464687578e-39
"Tax1bp1",3,"DE_by_Domain",TRUE,FALSE,1.01685073349414e-38
"Ncoa1",3,"DE_by_Domain",TRUE,FALSE,1.06043125448916e-38
"Gm47283",2,"DE_by_Domain",TRUE,FALSE,1.28969564945626e-38
"Fam169a",3,"DE_by_Domain",TRUE,FALSE,1.58433267088338e-38
"Cygb",7,"DE_by_Domain",TRUE,FALSE,1.69555866741278e-38
"Lgalsl",2,"DE_by_Domain",TRUE,FALSE,1.72890389609931e-38
"Elp3",3,"DE_by_Domain",TRUE,FALSE,2.61919659194411e-38
"Dhx30",3,"DE_by_Domain",TRUE,FALSE,2.63429410827687e-38
"Klk1",7,"DE_by_Domain",TRUE,FALSE,2.7224435055942e-38
"Ubap2l",3,"DE_by_Domain",TRUE,FALSE,3.2000410410162e-38
"Zdhhc18",3,"DE_by_Domain",TRUE,FALSE,3.50185082898161e-38
"Dhx36",3,"DE_by_Domain",TRUE,FALSE,3.5702707558994e-38
"Ptp4a3",5,"DE_by_Domain",TRUE,FALSE,4.30773316730564e-38
"Lhx5",4,"DE_by_Domain",TRUE,FALSE,4.92137122092855e-38
"Ccdc12",3,"DE_by_Domain",TRUE,FALSE,5.37502021988221e-38
"Snhg6",3,"DE_by_Domain",TRUE,FALSE,6.02926657662453e-38
